Which design pattern will you use to create a complex object?;;;Którego wzorca użyjesz do stworzenia złożonego obiektu?;
What is the difference between local and global variables?;;;Jaka jest różnica między zmiennymi lokalnymi i globalnymi?;
approval;;;"zgoda; zatwierdzenie ";
brainstorm;;;burza mózgów;
case;;;"sprawa; przypadek";
deadline;;;ostateczny termin;
business trip;;;delegacja ;
task;;;zadanie ;
meeting;;;spotkanie;
research;;;rozeznanie ;
feedback;;;informacja zwrotna;
draft;;;szkic;
case study;;;studium przypadku;
in-house recruitment;;;rekrutacja wewnętrzna;
internship;;;staż ;
staff;;;"personel; pracownicy";
milestone;;;kamień milowy ;
brief;;;opis projektu;
workflow;;;przepływ pracy;
agreement;;;umowa ;
guidelines;;;wytyczne ;
objective;;;cel ;
supervisor;;;kierownik ;
training;;;szkolenie ;
let’s get started;;;"zaczynajmy; zacznijmy";
We really should get started the meeting.;;;Naprawdę musimy zacząć spotkanie;
"For those of you who don’t know me yet; I am Johny.";;;"Dla tych z was; którzy mnie jeszcze nie znają; jestem Johny";
We are here today to talk about …;;;"Jesteśmy tu dzisiaj; aby porozmawiać o…";
Let’s talk more about that later on.;;;Porozmawiajmy o tym później;
Let’s try to stay on main topic.;;;Spróbujmy pozostać przy głównym temacie.;
What exactly do you mean?;;;Co dokładnie masz na myśli?;
You can discuss that amongst yourselves after the meeting;;;Możecie porozmawiać o tym między sobą po spotkaniu;
What do you think about that case?;;;Co myślisz o tej sprawie? ;
"If we are all here; let’s start the meeting.";;;"Jeśli są już wszyscy; zacznijmy spotkanie.";
"Johny; would you mind taking notes?";;;"Johny; czy mógłbyś robić notatki?";
"Firstly; we’ll be talking about new project.";;;"Po pierwsze; będziemy rozmawiać o nowym projekcie.";
Let’s leave this for another meeting.;;;Zostawmy to na kolejne spotkanie;
as soon as possible (ASAP);;;"tak szybko; jak tylko możliwe ";
for your information (FYI);;;dla twojej informacji;
key performance indicators (KPI);;;kluczowe wskaźniki wydajności;
to be confirmed (TBC);;;do potwierdzenia;
frequently asked questions (FAQ);;;często zadawane pytania;
chief executive officer (CEO);;;prezes;
project manager (PM);;;menadżer projektu;
end of year (EoY);;;koniec roku;
to be updated (TBU);;;do zaktualizowania;
to be defined (TBD);;;do ustalenia;
backup;;;kopia zapasowa;
one-to-one relationship;;;relacja jeden do jednego;
one-to-many relationship;;;relacja jeden do wielu;
redundancy;;;redundancja ;
row;;;wiersz ;
primary key;;;klucz główny;
unique identifier;;;unikalny identyfikator;
database;;;baza danych;
column;;;kolumna ;
consistency;;;spójność ;
constraints;;;więzy ;
entity;;;encja ;
field;;;pole ;
foreign key;;;klucz obcy;
integrity;;;integralność ;
deadlock;;;zakleszczenie ;
database engine;;;silnik bazy danych;
 database administrator;;;administrator baz danych;
execution time;;;czas wykonania;
query;;;zapytanie ;
database object;;;obiekt bazodanowy;
database management system;;;system zarządzania bazą danych;
database designer;;;projektant bazy danych;
inconsistency;;;niespójność ;
many-to-many relationship;;;relacja wiele do wielu;
(to) query database;;;odpytywać bazę danych;
record;;;"rekord; zapis";
structured query language (SQL);;;strukturalny język zapytań (SQL);
(to) store;;;przechowywać dane;
queries performance;;;wydajność zapytań;
scan the whole table;;;skanowanie całej tabeli;
peak performance;;;maksymalna wydajność;
response time;;;czas odpowiedzi;
monitoring;;;monitorowanie ;
query execution plan;;;plan wykonania zapytania;
findings;;;wnioski ;
analyze a workload;;;analizować obciążenie;
optimal solution;;;optymalne rozwiązanie;
estimated execution plan;;;szacowany plan wykonania;
resource usage;;;użycie zasobów;
appropriate permissions;;;odpowiednie uprawnienia;
actual execution plan;;;rzeczywisty plan wykonania;
